time,open,high,low,close,px_volume,px_vwap,px_vwap_anchor
1782156600,4187.43,4187.6,4186.05,4187.09,2541,4189.0676281521355,0
1782156900,4187.09,4190.28,4186.8,4188.34,2338,4189.065524214753,0
1782157200,4188.33,4188.37,4184.35,4184.52,2406,4189.053476872413,0
1782157500,4184.5,4186.04,4184.22,4185.48,2481,4189.0392806621185,0
1782157800,4185.51,4187.63,4184.86,4187.35,2751,4189.029290689689,0
1782158100,4187.36,4191.58,4186.17,4190.76,2847,4189.0313023299705,0
1782158400,4190.74,4193.78,4190.08,4192.43,1530,4189.038277096576,0
1782158700,4192.43,4192.97,4190.55,4190.65,1156,4189.042313124429,0
1782159000,4190.65,4191.86,4190.57,4190.88,1004,4189.045380587075,0
1782159300,4190.91,4191.59,4189.91,4191.27,796,4189.04759393093,0
1782159600,4191.27,4191.33,4188.7,4190.46,898,4189.049075470329,0
1782159900,4190.46,4191.27,4190.14,4190.38,772,4189.050840094269,0
1782160200,4190.36,4191.66,4189.55,4191.53,894,4189.053296147424,0
1782160500,4191.54,4193.67,4191.41,4193.48,882,4189.0582335361805,0
1782160800,4193.48,4193.56,4192.2,4192.82,952,4189.063557739596,0
1782161100,4192.81,4193.32,4190.78,4191.2,1004,4189.06754421012,0
1782161400,4191.21,4192.26,4190.99,4191.62,866,4189.070791208767,0
1782161700,4191.63,4192.46,4191.63,4192.35,596,4189.073478251945,0
1782165600,4193.96,4194.47,4191.43,4192.95,1059,4192.950000000001,1
1782165900,4192.94,4193.8,4191.59,4192.64,611,4192.849996007984,0
1782166200,4192.64,4193.27,4192.1,4192.37,843,4192.759424326835,0
1782166500,4192.39,4192.88,4191.19,4192.18,656,4192.619469864311,0
1782166800,4192.15,4192.62,4191.52,4191.58,593,4192.507111465533,0
1782167100,4191.58,4193.27,4191.55,4192.85,741,4192.515266118883,0
1782167400,4192.87,4194.57,4192.37,4192.52,1473,4192.6725407184285,0
1782167700,4192.51,4192.91,4190.02,4191.83,1470,4192.458165905631,0
1782168000,4191.83,4191.83,4189.53,4189.94,1184,4192.18036732329,0
1782168300,4189.95,4190.26,4188.47,4188.72,1249,4191.797238586901,0
1782168600,4188.72,4190.35,4188.59,4190.14,1072,4191.591286031717,0
1782168900,4190.14,4190.71,4189.3,4189.97,1138,4191.4408624920725,0
1782169200,4189.97,4192.97,4189.59,4190.56,1401,4191.399231035335,0
1782169500,4190.56,4192.1,4190.35,4191.91,1076,4191.4032276076705,0
1782169800,4191.9,4192.12,4190.52,4190.99,731,4191.393993811423,0
1782170100,4190.99,4191.88,4190.56,4191.46,785,4191.389405753845,0
1782170400,4191.42,4191.95,4190.52,4190.6,772,4191.372637751671,0
1782170700,4190.6,4191.44,4190.32,4191.09,827,4191.35286955866,0
1782171000,4191.1,4192.65,4190.83,4192.43,929,4191.383676338886,0
