time,open,high,low,close,px_fib_active,px_fib_dir,px_fib_origin,px_fib_e1_price,px_fib_e2_price,px_fib_e3_price,px_fib_e4_price,px_fib_100_price,px_fib_tp1_price,px_fib_tp2_price,px_fib_tp3_price,px_fib_e1_touch,px_fib_e2_touch,px_fib_e3_touch,px_fib_e4_touch,px_fib_100_touch,px_fib_tp1_touch,px_fib_tp2_touch,px_fib_tp3_touch,px_fib_reset_active,px_fibo_half_reached,px_sniper_active,px_sniper_dir,px_sniper_created,px_sniper_confirmed,px_sniper_zone_active,px_sniper_top,px_sniper_bot,px_macro_active,px_macro_dir,px_macro_locked,px_macro_visible,px_macro_new_cycle,px_macro_extended,px_macro_top,px_macro_bot,px_macro_e1_price,px_macro_e2_price,px_macro_e3_price,px_macro_e4_price,px_macro_ll_price,px_macro_tp1_price,px_macro_tp2_price,px_macro_hh_price,px_macro_e1_touch,px_macro_e2_touch,px_macro_e3_touch,px_macro_e4_touch,px_macro_ll_touch,px_macro_tp1_touch,px_macro_tp2_touch,px_macro_hh_touch,px_ifib_active,px_ifib_dir,px_ifib_reset_active,px_ifib_e1_touch,px_ifib_e2_touch,px_ifib_e3_touch,px_ifib_e4_touch,px_ifib_100_touch,px_ifib_tp1_touch,px_ifib_tp2_touch,px_ifib_tp3_touch
1765363500,4194.15,4194.25,4191.08,4193.31,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765364400,4193.32,4195.36,4192.6,4195.27,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765365300,4195.27,4196.32,4194.04,4194.67,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765366200,4194.66,4196.93,4193.64,4195.11,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765367100,4195.11,4197.84,4194.52,4197.32,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765368000,4197.33,4201.83,4197.19,4201.17,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765368900,4201.12,4202.24,4197.39,4197.7,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765369800,4197.71,4199.2,4196.69,4198.33,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765370700,4198.32,4198.41,4195.39,4196.43,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765371600,4196.42,4200.36,4193.66,4196.09,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765372500,4196.06,4199.95,4193.12,4198.16,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
