entry_utc,entry_ny,year,month,weekday,hour_ny,session,regime,dir,r,grade,pnl_usd,entry_price,exit_price,stop_distance,bars_held,mfe_usd,mae_usd,mfe_r,mae_r,exit_reason,costs_usd
2024-05-31T12:30:00,2024-05-31 08:30,2024,05,Fri,08,London,TRENDING,short,1.765,win,541.62,2352.18,2331.22,11.88,87,969.13,-193.72,3.157,-0.631,S-RUN,0.0
2024-06-03T16:30:00,2024-06-03 12:30,2024,06,Mon,12,NewYork,TRENDING,short,1.506,win,543.63,2348.32,2331.22,11.36,126,1040.67,-203.68,2.882,-0.564,S-RUN,0.0
2024-06-13T15:45:00,2024-06-13 11:45,2024,06,Thu,11,NewYork,TRANSITIONING,long,1.0,win,415.46,2300.62,2314.48,13.86,183,1079.35,-153.98,2.598,-0.371,L-RUN,0.0
2024-06-21T17:15:00,2024-06-21 13:15,2024,06,Fri,13,NewYork,TRENDING,long,-1.0,loss,-457.0,2318.55,2295.49,23.06,261,367.01,-471.67,0.803,-1.032,L-RUN,0.0
2024-07-24T20:00:00,2024-07-24 16:00,2024,07,Wed,16,NewYork,TRENDING,long,-1.0,loss,-411.3,2397.97,2383.8,14.16,18,93.93,-795.45,0.228,-1.934,L-RUN,0.0
2024-10-22T04:00:00,2024-10-22 00:00,2024,10,Tue,00,Asia,TRENDING,short,-1.0,loss,-370.17,2734.12,2740.53,6.41,38,294.52,-373.64,0.796,-1.009,S-RUN,0.0
2024-10-23T14:30:00,2024-10-23 10:30,2024,10,Wed,10,NewYork,TRENDING,long,-0.084,be,-28.1,2719.89,2719.41,5.69,1,511.15,-201.42,1.534,-0.605,L-RUN,0.0
2024-12-18T14:15:00,2024-12-18 09:15,2024,12,Wed,09,NewYork,TRENDING,long,-1.0,loss,-330.34,2639.96,2633.09,6.87,19,87.03,-1183.85,0.263,-3.584,L-RUN,0.0
2025-01-27T07:15:00,2025-01-27 02:15,2025,01,Mon,02,Asia,TRENDING,long,0.022,be,6.51,2749.64,2749.95,13.7,28,484.09,-50.0,1.628,-0.168,L-RUN,0.0
2025-02-13T05:00:00,2025-02-13 00:00,2025,02,Thu,00,Asia,TRENDING,short,1.0,win,297.96,2919.66,2896.65,23.01,171,553.19,-263.26,1.857,-0.884,S-RUN,0.0
2025-06-10T18:45:00,2025-06-10 14:45,2025,06,Tue,14,NewYork,TRENDING,long,1.0,win,327.76,3319.95,3338.18,18.23,53,513.84,-80.19,1.568,-0.245,L-RUN,0.0
2025-07-09T22:30:00,2025-07-09 18:30,2025,07,Wed,18,Late,TRENDING,short,-1.0,loss,-360.53,3321.13,3345.83,24.7,139,160.71,-362.72,0.446,-1.006,S-RUN,0.0
2025-07-15T05:15:00,2025-07-15 01:15,2025,07,Tue,01,Asia,TRENDING,short,1.0,win,324.48,3364.34,3353.75,10.59,131,1370.11,-61.16,4.222,-0.188,S-RUN,0.0
2025-08-14T07:45:00,2025-08-14 03:45,2025,08,Thu,03,Asia,TRENDING,long,0.022,be,7.94,3344.57,3344.87,13.49,19,384.19,-80.33,1.076,-0.225,L-RUN,0.0
2025-09-10T09:45:00,2025-09-10 05:45,2025,09,Wed,05,London,TRANSITIONING,short,1.0,win,357.72,3655.78,3636.69,19.1,79,618.49,-33.44,1.729,-0.093,S-RUN,0.0
2026-02-26T14:30:00,2026-02-26 09:30,2026,02,Thu,09,NewYork,TRANSITIONING,long,4.167,win,1639.67,5142.8,5347.04,49.02,183,2219.22,-98.95,5.64,-0.251,L-RUN,0.0
2026-03-03T11:00:00,2026-03-03 06:00,2026,03,Tue,06,London,TRENDING,long,0.008,be,4.46,5167.98,5168.28,37.51,1,1427.91,-798.52,2.561,-1.432,L-RUN,0.0
2026-05-08T13:30:00,2026-05-08 09:30,2026,05,Fri,09,NewYork,TRENDING,short,1.874,win,1045.5,4743.27,4703.07,21.45,90,2474.37,-157.97,4.435,-0.283,S-RUN,0.0
2026-07-07T13:30:00,2026-07-07 09:30,2026,07,Tue,09,NewYork,TRANSITIONING,short,3.858,win,2555.99,4179.1,4087.58,23.72,115,4395.06,-36.31,6.634,-0.055,S-RUN,0.0
