time,open,high,low,close,px_eq_tol,px_eq_ph,px_eq_pl,px_eqh_new,px_eql_new,px_eqh_cnt,px_eql_cnt,px_eqh_0,px_eqh_1,px_eqh_2,px_eqh_3,px_eqh_4,px_eqh_5,px_eql_0,px_eql_1,px_eql_2,px_eql_3,px_eql_4,px_eql_5
1781827200,4188.44,4198.12,4184.52,4185.54,2.400461677150537,,,,,10,2,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4170.27,,,,
1781828100,4185.57,4188.83,4184.45,4185.19,2.3743524436075267,,,,,10,2,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4170.27,,,,
1781829000,4185.21,4191.41,4184.54,4188.62,2.3612153947353756,,,,,10,2,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4170.27,,,,
1781829900,4188.61,4192.41,4187.69,4190.41,2.3375910868406695,,4184.45,,,10,2,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4170.27,,,,
1781830800,4190.44,4194.61,4184.49,4186.5,2.3414392651038556,,,,,10,2,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4170.27,,,,
1781831700,4186.51,4191.61,4184.16,4190.79,2.3318604798017777,,,,,10,2,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4170.27,,,,
1781832600,4190.88,4190.94,4184.57,4185.68,2.3170732702057415,4194.61,,,,10,2,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4170.27,,,,
1781833500,4185.7,4187.39,4184.09,4184.95,2.287231804801628,,,,,10,2,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4170.27,,,,
1781834400,4184.94,4186.2,4178.67,4179.97,2.279137168705594,,,,,10,2,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4170.27,,,,
1781835300,4179.91,4180.16,4175.14,4179.53,2.2586544253314798,,,,,10,2,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4170.27,,,,
