sos_utc,year,hour_ny,session,dir,bars_alive,stage_max,reached_zone,edge_ever,veto_ever,armed_ever,traded,verdict,edge_price
2024-11-29T02:15:00,2024,21,Asia,long,445,4,True,True,False,True,True,traded,2639.24
2024-12-09T14:00:00,2024,09,NewYork,long,83,2,False,True,True,True,False,never retraced to 0.5,2629.26
2024-12-11T04:30:00,2024,23,Asia,short,40,4,True,False,True,False,False,no FVG in the zone,
2024-12-13T08:45:00,2024,03,Asia,short,18,2,False,True,False,True,False,never retraced to 0.5,2715.15
2024-12-17T18:30:00,2024,13,NewYork,long,19,2,False,False,False,False,False,never retraced to 0.5,
2024-12-18T04:00:00,2024,23,Asia,short,15,4,True,False,False,False,False,no FVG in the zone,
2025-01-02T10:15:00,2025,05,London,long,50,2,False,True,False,True,False,never retraced to 0.5,2596.56
2025-01-03T08:15:00,2025,03,Asia,short,19,3,True,False,False,False,False,no FVG in the zone,
2025-01-06T11:30:00,2025,06,London,long,7,2,False,False,False,False,False,never retraced to 0.5,
2025-01-07T12:30:00,2025,07,London,long,178,2,False,False,True,False,False,never retraced to 0.5,
2025-01-13T15:45:00,2025,10,NewYork,short,216,4,True,True,True,True,True,traded,2681.25
2025-01-16T01:00:00,2025,20,Asia,long,32,2,False,True,False,True,False,never retraced to 0.5,2673.26
2025-01-21T02:30:00,2025,21,Asia,long,47,2,False,False,False,False,False,never retraced to 0.5,
2025-01-23T13:30:00,2025,08,London,short,45,4,True,False,True,False,False,no FVG in the zone,
2025-01-24T02:00:00,2025,21,Asia,long,40,2,False,False,False,False,False,never retraced to 0.5,
2025-01-24T16:45:00,2025,11,NewYork,short,46,2,False,True,False,True,False,never retraced to 0.5,2777.34
2025-01-27T09:00:00,2025,04,London,long,23,4,True,False,False,False,False,no FVG in the zone,
2025-01-27T15:00:00,2025,10,NewYork,short,248,4,True,True,False,True,True,traded,2765.39
2025-01-30T08:15:00,2025,03,Asia,long,87,2,False,False,True,False,False,never retraced to 0.5,
2025-02-03T14:30:00,2025,09,NewYork,long,86,2,False,True,True,True,False,never retraced to 0.5,2792.73
2025-02-06T07:30:00,2025,02,Asia,short,28,4,True,True,False,True,True,traded,2869.33
